,query_id,query,Rank,Score,Doc_id,Document
0,992839,definition of curfew,24,8.082300186157227,3807532,"What curfew rules should you set for your teenager? A curfew sets the expectation of when your teen will be home, for their safety and out of respect for the rest of the family. You will also need to set and enforce the consequences for breaking the curfew agreement. Each family will have their own needs for setting limits."
1,992839,definition of curfew,17,8.265999794006348,8191267,"An additional 6 percent, or 23 cities, were considering adopting curfew legislation, according to the survey. 50 Cities that have enacted new curfew ordinances or have amended existing curfew legislation since 1994 include Arlington, VA; Austin, TX; Baltimore, MD; Buffalo, NY; Phoenix, AZ; Oklahoma City, OK; and San Jose, CA. 51. Curfew laws vary with respect to the locale affected, timeframe, and sanctions. Most restrict minors to their homes or property between the hours of 11 p.m. and 6 a.m., with some jurisdictions allowing exceptions for weekend nights or summer months. Many curfew ordinances provide exemptions for youth who are going to or from a school-, religious-, or civic-sponsored event."
2,992839,definition of curfew,12,8.602499961853027,5207344,The definition of universal is relating to or affecting all. An example of universal used as an adjective is a universal curfew for a town which means that all members of that town must be home by a certain time. YourDictionary definition and usage example.
3,992839,definition of curfew,26,8.044698715209961,3807525,Curfew rules can be adjusted as your teen grows in age and responsibility. The curfew for a 14-year old will likely be different from that of a 17-year old teen. The American Academy of Pediatrics recommends a curfew for teens aged 14 to 16 of 8 or 9 p.m. on school nights and 10 or 11 p.m. on weekends.
4,992839,definition of curfew,19,8.183300018310547,2620523,Discuss is defined as to talk about and to consider all aspects of the subject. An example of discuss is for a teenager to give reasons for a later curfew with his parents. YourDictionary definition and usage example.
5,1013965,"what type of wave is electromagnetic,",15,12.856800079345703,2646538,"FIND OUT MORE. Many different kinds of energy travel in waves. Sound waves carry noises through the air to our ears. SEISMIC WAVES travel inside the Earth and cause earthquakes. Light, heat, radio, and similar types of energy are carried by a variety of waves in the ELECTROMAGNETIC SPECTRUM.Some energy waves need a medium, such as water or air, through which to travel.hese are waves that carry energy as electricity and magnetism at the speed of light. Light we can see is also an electromagnetic wave, but other types of electromagnetic wave are invisible. The various types of electromagnetic wave have different frequencies and wavelengths."
6,1013965,"what type of wave is electromagnetic,",19,12.720399856567383,6615903,"The electromagnetic spectrum contains many types of waves, one of which is infrared waves. Other electromagnetic waves include gamma rays, x-rays, ultraviolet, visible light, microwaves, and radio. Infrared waves are electromagnetic radiation of a particular wavelength or color that we have named 'infrared.' They are between 700 nm (nanometers) and 1 mm. Note that 1 mm is equal to 1,000,000 nanometers. They are just beyond what our eyes can detect on the red side of the rainbow."
7,1013965,"what type of wave is electromagnetic,",24,12.665900230407715,752147,"Sound waves and electromagnetic waves are different. Sound is composed of density waves in the air or some other form of matter. The different types of electromagnetic wave â¦ s are gamma rays, X-rays, ultraviolet rays, visible light, infrared radiation, microwaves, and radio waves.ound waves and electromagnetic waves are different. Sound is composed of density waves in the air or some other form of matter. The different types of electromagnetic wave â¦ s are gamma rays, X-rays, ultraviolet rays, visible light, infrared radiation, microwaves, and radio waves."
8,1013965,"what type of wave is electromagnetic,",17,12.729499816894531,1742690,"In transverse waves, the oscillations (vibrations) are at right angles to the direction of travel and energy transfer. Light and other types of electromagnetic radiation are transverse waves.All types of electromagnetic waves travel at the same speed through a vacuum, such as through space.Water waves and S waves (a type of seismic wave) are also transverse waves. Your web browser does not have JavaScript switched on at the moment.n transverse waves, the oscillations (vibrations) are at right angles to the direction of travel and energy transfer. Light and other types of electromagnetic radiation are transverse waves."
9,1013965,"what type of wave is electromagnetic,",18,12.723699569702148,1839,"Difference Between Electromagnetic Waves and Radio Waves. Electromagnetic waves are a type of wave that is present in nature. The applications of electromagnetic waves are endless. The theory of electromagnetism is a vast field in classical mechanics and in modern physics, as well."
10,1090730,shopko kennewick address,30,8.492500305175781,1201367,"About FastCare inside Shopko. FastCare inside Shopko is a retail clinic operating inside of in Wausau, WI located at 200 S 18th Ave., . They are open 7 days a week seeing walk-in patients in Wausau."
11,1090730,shopko kennewick address,29,8.562700271606445,2507946,"Kennewick Man. Kennewick Man. The remains of an ancient human found along a river in Kennewick, Washington, in 1996 set off a heated debate about the ownership and future of the skeleton."
12,1090730,shopko kennewick address,18,9.102700233459473,77504,"Shopko (formerly ShopKo until June 2007) is a chain of retail stores based in Ashwaubenon, Wisconsin. Shopko was founded in 1962 by James Ruben, and its first store opened in Green Bay. From 1991 to 2005, the company was publicly held, with stock traded on the New York Stock Exchange under the symbol SKO."
13,1090730,shopko kennewick address,17,9.29740047454834,7489662,"With these competitive advantages, Shopko grew rapidly in the following decades, including the launch of Shopko Hometown in 2010 to specifically serve smaller communities. Today, there are 180 Hometown stores, making Shopko one of America's major retailers to serve smaller communities."
